state	year	name	type	city	county	district	enroll	mmr	overall	xrel	xmed	xper
Illinois	2018-19	Spencer Loomis Elementary	NA	Hawthorn Woods	Lake	NA	564	95.92198582	-1	NA	0.18	NA
Illinois	2018-19	Mayer Elementary	NA	Chicago	Cook	NA	760	95.92105263	-1	NA	0.39	NA
Illinois	2018-19	Durand Elementary	NA	Durand	Winnebago	NA	294	95.91836735	-1	NA	NA	NA
Illinois	2018-19	Ladd Comm Cons Sch	NA	Ladd	Bureau	NA	196	95.91836735	-1	NA	0.51	NA
Illinois	2018-19	Northside Elementary	NA	Geneseo	Henry	NA	343	95.91836735	-1	NA	0.87	NA
Illinois	2018-19	Pecatonica Elementary	NA	Pecatonica	Winnebago	NA	342	95.90643275	-1	NA	0.29	NA
Illinois	2018-19	Prairieview Elementary	NA	Bartlett	Kane	NA	342	95.90643275	-1	NA	NA	NA
Illinois	2018-19	St John The Baptist Catholic Sch	NA	Johnsburg	McHenry	NA	73	95.89041096	-1	NA	NA	NA
Illinois	2018-19	Lewis Lemon Elementary	NA	Rockford	Winnebago	NA	340	95.88235294	-1	NA	NA	NA
Illinois	2018-19	Lincoln Early Childhood	NA	Monmouth	Warren	NA	364	95.87912088	-1	NA	NA	NA
Illinois	2018-19	Heartland Elementary	NA	Geneva	Kane	NA	412	95.87378641	-1	NA	NA	NA
Illinois	2018-19	Grace McWayne Elementary	NA	Batavia	Kane	NA	315	95.87301587	-1	NA	0.32	NA
Illinois	2018-19	Revere Elementary	NA	Chicago	Cook	NA	242	95.8677686	-1	NA	0.41	NA
Illinois	2018-19	Salt Creek Elementary	NA	Elmhurst	Dupage	NA	121	95.8677686	-1	NA	NA	NA
Illinois	2018-19	Tonti Elementary	NA	Chicago	Cook	NA	968	95.8677686	-1	NA	NA	NA
Illinois	2018-19	Solomon Elementary	NA	Chicago	Cook	NA	362	95.85635359	-1	NA	NA	NA
Illinois	2018-19	Chalmers Elementary Specialty	NA	Chicago	Cook	NA	336	95.83333333	-1	NA	1.19	NA
Illinois	2018-19	Childrens Lrning Path Montessori	NA	Northbrook	Cook	NA	24	95.83333333	-1	NA	NA	NA
Illinois	2018-19	Eastland Elementary	NA	Shannon	Carroll	NA	312	95.83333333	-1	NA	NA	NA
Illinois	2018-19	Lincoln Elementary	NA	Morton	Tazewell	NA	528	95.83333333	-1	NA	NA	NA
Illinois	2018-19	Skip-A-Long Moline Campus	NA	NA	NA	NA	72	95.83333333	-1	NA	NA	NA
Illinois	2018-19	South Fork Elementary	NA	Kincaid	Christian	NA	168	95.83333333	-1	NA	NA	NA
Illinois	2018-19	St Alphonsus - St Patrick	NA	Lemont	Cook	NA	144	95.83333333	-1	NA	NA	NA
Illinois	2018-19	Steeple Run Elementary	NA	Naperville	Dupage	NA	599	95.8263773	-1	NA	0.17	NA
Illinois	2018-19	Centennial	NA	Bartlett	Kane	NA	454	95.81497797	-1	NA	NA	NA
Illinois	2018-19	Flanagan Elementary	NA	Flanagan	Livingston	NA	191	95.81151832	-1	NA	NA	NA
Illinois	2018-19	Lavizzo Elementary	NA	Chicago	Cook	NA	358	95.81005587	-1	NA	0.84	NA
Illinois	2018-19	St Joseph	NA	Summit	Cook	NA	167	95.80838323	-1	NA	0.6	NA
Illinois	2018-19	W W Woodbury Elementary	NA	Sandwich	Dekalb	NA	167	95.80838323	-1	NA	0.6	NA
Illinois	2018-19	Stevenson Accelerated	NA	Decatur	Macon	NA	262	95.80152672	-1	NA	NA	NA
Illinois	2018-19	Jefferson Elementary	NA	Berwyn	Cook	NA	595	95.79831933	-1	NA	NA	NA
Illinois	2018-19	South Shore Fine Arts Elementary	NA	Chicago	Cook	NA	357	95.79831933	-1	NA	0.84	NA
Illinois	2018-19	Whittier Elementary	NA	Wheaton	Dupage	NA	452	95.79646018	-1	NA	NA	NA
Illinois	2018-19	Grand Prairie Elementary	NA	Frankfort	Will	NA	808	95.79207921	-1	NA	0.25	NA
Illinois	2018-19	New Holland-Middletown Elementary	NA	Middletown	Logan	NA	95	95.78947368	-1	NA	NA	NA
Illinois	2018-19	Judah Christian	NA	Champaign	Champaign	NA	498	95.78313253	-1	NA	NA	NA
Illinois	2018-19	Ombudsman Chicago West	NA	Chicago	Cook	NA	332	95.78313253	-1	NA	0.3	NA
Illinois	2018-19	Till Elementary Math & Science Academy	NA	Chicago	Cook	NA	332	95.78313253	-1	NA	0.3	NA
Illinois	2018-19	Stagg Elementary	NA	Chicago	Cook	NA	403	95.78163772	-1	NA	3.23	NA
Illinois	2018-19	Nettelhorst Elementary	NA	Chicago	Cook	NA	758	95.77836412	-1	NA	0.79	NA
Illinois	2018-19	Intercultural Montessori Oak Park	NA	Oak Park	Cook	NA	71	95.77464789	-1	NA	NA	NA
Illinois	2018-19	Goodrich Elementary	NA	Woodridge	Dupage	NA	402	95.77114428	-1	NA	NA	NA
Illinois	2018-19	Aldridge Elementary	NA	Chicago	Cook	NA	189	95.76719577	-1	NA	3.17	NA
Illinois	2018-19	St Thomas More	NA	Elgin	Kane	NA	189	95.76719577	-1	NA	NA	NA
Illinois	2018-19	Dorothy Simon Elementary	NA	Winnebago	Winnebago	NA	306	95.75163399	-1	NA	0.33	NA
Illinois	2018-19	Highlands Elementary	NA	Hazel Crest	Cook	NA	306	95.75163399	-1	NA	NA	NA
Illinois	2018-19	Baker Demonstration	NA	Wilmette	Cook	NA	235	95.74468085	-1	NA	NA	NA
Illinois	2018-19	West Central Elementary	NA	Biggsville	Henderson	NA	329	95.74468085	-1	NA	0.61	NA
Illinois	2018-19	Yeshivas Meor Hatorah	NA	Chicago	Cook	NA	47	95.74468085	-1	NA	NA	NA
Illinois	2018-19	Bernard Long Elementary	NA	Madison	Madison	NA	352	95.73863636	-1	NA	NA	NA
Illinois	2018-19	St Thomas The Apostle	NA	Crystal Lake	McHenry	NA	258	95.73643411	-1	NA	0.39	NA
Illinois	2018-19	Pennoyer Elementary	NA	Norridge	Cook	NA	445	95.73033708	-1	NA	0.45	NA
Illinois	2018-19	St Jude Catholic	NA	Peoria	Peoria	NA	281	95.72953737	-1	NA	NA	NA
Illinois	2018-19	Rowe Elementary	NA	Chicago	Cook	NA	1006	95.72564612	-1	NA	0.3	NA
Illinois	2018-19	Clissold Elementary	NA	Chicago	Cook	NA	514	95.71984436	-1	NA	0.19	NA
Illinois	2018-19	St Pauls Lutheran	NA	Bourbonnais	Kankakee	NA	186	95.69892473	-1	NA	NA	NA
Illinois	2018-19	YCCS-Association House	NA	Chicago	Cook	NA	116	95.68965517	-1	NA	1.72	NA
Illinois	2018-19	Palos West Elementary	NA	Palos Park	Cook	NA	626	95.68690096	-1	NA	0.16	NA
Illinois	2018-19	West Elementary	NA	Crystal Lake	McHenry	NA	510	95.68627451	-1	NA	0.2	NA
Illinois	2018-19	Mill Street Elementary	NA	Naperville	Dupage	NA	648	95.67901235	-1	NA	0.15	NA
Illinois	2018-19	St Jude	NA	Joliet	Will	NA	162	95.67901235	-1	NA	0.62	NA
Illinois	2018-19	Fort Dearborn Elementary	NA	Chicago	Cook	NA	369	95.66395664	-1	NA	0.27	NA
Illinois	2018-19	Beard Elementary	NA	Chicago	Cook	NA	230	95.65217391	-1	NA	0.43	NA
Illinois	2018-19	Blair Early Childhood Center	NA	Chicago	Cook	NA	230	95.65217391	-1	NA	1.3	NA
Illinois	2018-19	Graymont Elementary	NA	Graymont	Livingston	NA	46	95.65217391	-1	NA	2.17	NA
Illinois	2018-19	Blessed Sacrament	NA	Springfield	Sangamon	NA	526	95.62737643	-1	NA	1.14	NA
Illinois	2018-19	McKinley Elementary	NA	Elgin	Kane	NA	387	95.60723514	-1	NA	NA	NA
Illinois	2018-19	St Bede	NA	Ingleside	Lake	NA	159	95.59748428	-1	NA	NA	NA
Illinois	2018-19	Elgin Math and Science Acad Chtr	NA	Elgin	Kane	NA	204	95.58823529	-1	NA	NA	NA
Illinois	2018-19	Cambridge Lakes Charter	NA	Pingree Grove	Kane	NA	860	95.58139535	-1	NA	0.23	NA
Illinois	2018-19	MacArthur Early Childhood Center	NA	Macomb	McDonough	NA	113	95.57522124	-1	NA	NA	NA
Illinois	2018-19	Stevenson Elementary	NA	Bloomington	McLean	NA	384	95.57291667	-1	NA	NA	NA
Illinois	2018-19	Meadowview	NA	Grayslake	Lake	NA	316	95.56962025	-1	NA	0.63	NA
Illinois	2018-19	Blythe Park Elementary	NA	Riverside	Cook	NA	203	95.56650246	-1	NA	NA	NA
Illinois	2018-19	Madison Elementary	NA	Wheaton	Dupage	NA	451	95.5654102	-1	NA	0.44	NA
Illinois	2018-19	Concord Elementary	NA	Darien	Dupage	NA	496	95.56451613	-1	NA	NA	NA
